Lot Frontage	Lot Area	Neighborhood	Overall Qual	Overall Cond	Year Built	Total Bsmt SF	1st Flr SF	Gr Liv Area	Bedroom AbvGr	TotRms AbvGrd	Garage Area	SalePrice
120	26400	SawyerW	5	7	1880	0	1288	2016	4	7	576	131000
64	7018	SawyerW	5	5	1979	0	1535	1535	4	8	410	118964
64	7018	SawyerW	5	5	1979	1086	1224	1224	2	6	528	153337
64	7018	SawyerW	5	5	1979	0	1114	2228	6	8	720	147983
64	7018	SawyerW	5	5	1979	0	1535	1535	4	8	400	118858
64	7018	SawyerW	5	5	1979	0	1535	1535	4	8	400	118858
64	7018	SawyerW	5	5	1979	0	1120	2240	6	12	528	142953
64	7040	SawyerW	5	5	1979	1094	1229	1229	2	6	672	148325
64	7007	SawyerW	5	5	1979	0	1513	1513	4	8	400	113722
	11855	SawyerW	7	5	2000	1168	1168	2787	6	8	820	269500
	7939	SawyerW	7	5	2000	1168	1168	2787	6	8	820	269500
	7976	SawyerW	7	5	2000	1168	1168	2787	6	8	820	269500
84	10933	CollgCr	9	5	2009	1555	1680	1680	1	8	1138	323262
79	10637	CollgCr	8	5	2007	1705	1718	1718	3	7	826	297000
61	10226	CollgCr	8	5	2008	1622	1630	1630	3	8	860	295493
65	10816	CollgCr	9	5	2008	1720	1720	1720	3	8	846	332000
71	9178	CollgCr	8	5	2008	1468	1468	1468	3	6	904	239900
68	10769	CollgCr	8	5	2007	866	866	1768	3	7	578	212000
77	11422	CollgCr	8	5	2007	1838	1838	1838	3	7	524	272500
122	11923	CollgCr	9	5	2007	1800	1800	1800	2	7	702	239000
68	8814	CollgCr	7	5	2006	1604	1604	1604	3	8	660	220000
64	6762	CollgCr	7	5	2007	1282	1290	1290	2	6	662	200000
95	10324	CollgCr	8	5	2008	1254	1254	1254	2	5	810	221800
64	7314	CollgCr	7	5	2007	1232	1232	1232	2	6	632	194500
78	11645	CollgCr	8	5	2005	1498	1498	1498	3	7	844	237000
79	11646	CollgCr	6	5	2005	704	704	1422	3	7	440	173000
	12800	SawyerW	7	5	1989	1518	1644	1644	2	5	569	275000
	16698	ClearCr	7	5	1992	1449	944	1759	3	7	525	233500
	28698	ClearCr	5	5	1967	1013	1160	2126	3	7	538	185000
82	12464	CollgCr	5	5	1996	1040	1040	1040	3	6	576	152000
65	9757	CollgCr	5	7	1994	990	990	990	3	5	440	143000
65	15426	CollgCr	6	5	1997	928	928	1764	3	7	470	231500
43	10667	CollgCr	7	6	1996	799	827	1661	3	6	550	212000
65	14753	CollgCr	7	5	1998	1463	1463	1463	3	5	539	207000
112	10859	CollgCr	5	5	1994	1097	1097	1097	3	6	672	145000
60	8072	CollgCr	5	5	1994	990	990	990	3	5	480	138000
80	10400	CollgCr	7	5	1998	866	866	1779	3	6	546	197900
78	10335	CollgCr	7	5	1999	1490	1501	1501	3	6	577	204000
68	9017	CollgCr	7	5	1999	1431	1431	1431	3	6	666	192000
70	8750	CollgCr	6	5	1998	928	928	1772	3	7	492	200000
68	8935	CollgCr	7	5	2002	831	831	1660	3	7	493	195000
67	9808	CollgCr	7	5	2002	1573	1573	1573	3	6	544	227000
79	12420	CollgCr	7	5	2001	944	944	1840	3	6	622	230000
67	16285	CollgCr	7	5	2001	1413	1430	1430	3	6	605	187100
65	10739	CollgCr	7	5	2002	1431	1444	1444	3	6	577	203000
75	11166	CollgCr	7	5	2001	1492	1492	1492	3	6	608	201000
60	8430	CollgCr	5	5	1978	1040	1040	1040	3	5	0	124000
	16269	CollgCr	5	5	1978	907	907	907	3	5	343	140000
76	6950	CollgCr	5	7	1979	914	914	914	2	5	444	134900
61	8800	CollgCr	5	7	1977	1040	1040	1040	3	5	484	150500
	7000	CollgCr	5	8	1978	864	864	864	3	6	336	136500
	9286	CollgCr	5	7	1977	1268	1268	1268	3	5	252	143500
36	15523	CollgCr	5	6	1972	864	864	864	3	5	338	133500
60	7200	CollgCr	5	5	1972	894	894	894	2	6	600	123000
60	7200	CollgCr	5	8	1972	768	768	768	2	5	396	133900
70	8445	CollgCr	5	7	1972	768	768	768	2	5	396	133000
90	11664	CollgCr	7	5	2002	1569	1611	1611	3	6	1231	250000
	12334	CollgCr	8	5	2003	1068	1068	2184	4	8	570	254750
	11838	CollgCr	8	5	2001	1753	1788	1788	3	7	522	236500
	11885	CollgCr	8	5	2001	1299	1299	1872	3	7	531	261500
	11050	CollgCr	9	5	2000	1440	1476	2153	3	8	736	313000
70	8749	CollgCr	7	5	2002	840	840	1725	3	6	550	198500
	11250	CollgCr	7	5	2001	944	944	1870	3	6	608	211000
90	15750	CollgCr	8	5	1999	1462	1513	1513	2	5	521	220000
73	11883	CollgCr	7	5	1996	1504	1504	1504	3	6	478	203000
	12782	CollgCr	8	5	2002	1822	1828	1828	3	7	523	279500
70	8750	CollgCr	7	5	1997	1417	1417	1417	3	7	511	210000
	9375	CollgCr	7	5	1997	1057	1057	2034	3	8	645	219500
70	8750	CollgCr	7	5	1996	880	909	1716	2	7	512	191000
70	9100	CollgCr	7	5	2001	1212	1212	1212	3	6	573	178000
75	9750	CollgCr	7	5	2000	1630	1630	1630	3	6	451	213000
	4435	CollgCr	6	5	2003	848	848	848	1	4	420	144000
	4435	CollgCr	6	5	2003	848	848	848	1	4	420	140000
85	10200	CollgCr	8	5	2007	1578	1602	1602	3	7	810	293200
65	9313	CollgCr	7	5	2004	864	864	1728	3	7	572	190000
63	8487	CollgCr	7	5	2004	1500	1500	1500	3	6	570	190000
64	8633	CollgCr	6	5	2005	738	738	1476	3	7	540	173500
85	11069	CollgCr	6	5	2007	608	608	1396	3	6	440	170000
67	8777	Edwards	4	5	1949	0	1126	1126	2	5	520	108000
75	9937	Edwards	5	7	1964	1486	1486	1486	3	7	480	167000
67	8877	Edwards	4	6	1938	816	816	816	2	3	288	100000
64	7301	Edwards	7	5	2003	0	495	1922	4	7	672	198500
75	7950	Edwards	6	6	1977	690	698	1426	3	6	440	159500
80	10682	Edwards	4	6	1960	1014	1149	1149	3	7	544	127000
72	7200	Edwards	6	6	1976	1041	1125	1125	3	6	352	125000
86	13286	Edwards	9	5	2007	1698	1698	1698	3	8	768	320000
35	3675	Edwards	6	5	2005	547	1072	1072	2	5	525	145500
50	9405	Edwards	5	9	1947	698	698	698	2	4	0	118000
64	6410	Edwards	4	5	1959	876	876	876	3	5	320	85000
70	11767	Edwards	5	5	1950	1078	1368	1368	3	6	195	120000
50	8405	Edwards	4	3	1945	0	1088	1529	4	9	240	98000
56	4060	Edwards	5	8	1922	864	864	864	2	4	0	99900
74	10206	Edwards	3	3	1952	0	944	944	2	4	528	82000
65	10926	Edwards	5	5	1959	1678	1678	1678	6	10	0	119900
70	11767	Edwards	5	5	1956	1150	1560	1560	2	7	313	103500
	8926	Edwards	4	3	1956	672	960	960	3	5	288	112000
67	12354	Edwards	6	8	1920	684	684	1196	3	7	528	110000
45	8212	Edwards	5	6	1941	720	854	1298	3	6	256	122000
60	10998	Edwards	5	5	1941	984	984	1604	3	6	660	117000
70	6300	SWISU	5	4	1938	832	832	1268	3	7	250	160000
55	4500	SWISU	5	5	1932	793	848	1520	3	6	281	159434
60	8400	SWISU	2	5	1920	290	438	438	1	3	246	60000
60	9900	SWISU	6	7	1940	778	944	1489	3	7	240	139500
102	15863	SWISU	7	3	1920	824	1687	3082	5	12	672	197000
43	5707	SWISU	6	6	1935	583	647	1242	3	6	180	105000
65	7804	SWISU	4	3	1928	1122	1328	1981	4	7	576	135000
64	8574	Crawfor	6	8	1916	816	1232	1232	3	6	440	147500
51	6171	SWISU	6	6	1925	976	1160	1608	3	7	216	137450
60	7200	SWISU	7	9	1936	560	575	1135	3	6	576	155000
57	7558	Crawfor	6	6	1928	896	1172	1913	3	9	342	177000
52	6292	SWISU	7	7	1928	861	877	1477	3	6	216	145000
53	7155	Crawfor	7	8	1918	600	628	1228	3	6	215	137000
53	10918	Crawfor	7	9	1926	1276	1276	2080	3	9	282	234000
60	13680	Crawfor	5	6	1940	840	840	1567	2	6	440	205000
	7500	Crawfor	6	7	1942	771	753	1494	3	7	213	177500
130	9600	Crawfor	5	7	1940	728	976	1308	2	7	256	160000
80	14680	Crawfor	5	4	1960	1273	1273	1273	2	5	307	155000
80	13360	Crawfor	5	7	1921	876	964	964	2	5	432	163500
54	7681	Crawfor	5	6	1921	731	820	1343	3	7	186	154900
	8145	Crawfor	7	6	1940	920	1240	2480	5	13	400	205000
70	9100	Crawfor	5	6	1954	1112	1112	1112	2	6	390	144800
75	12000	Crawfor	7	7	1941	704	860	1564	3	7	234	174500
90	13339	Crawfor	6	6	1960	1561	1561	1561	3	6	463	193000
78	15600	Crawfor	5	7	1949	1067	986	1523	3	7	295	158000
80	14000	Crawfor	6	8	1950	1092	1152	1152	3	6	300	158500
100	17500	Crawfor	6	5	1954	1310	1906	1906	3	6	576	224000
24	1733	Blueste	6	6	1980	516	516	1032	2	5	452	115000
24	1488	Blueste	6	6	1980	561	561	1229	2	5	462	137000
24	1612	Blueste	6	6	1980	561	561	1229	2	5	462	121000
24	1300	Blueste	6	6	1980	561	561	1229	2	5	462	124000
	13607	Crawfor	6	6	1986	572	1182	1982	3	6	501	208000
	17597	Crawfor	7	9	1971	1803	2365	2365	3	7	551	315000
	21695	Crawfor	6	9	1988	880	1680	1680	3	5	540	222000
59	10690	IDOTRR	5	7	1920	672	672	1344	3	6	468	147000
50	8660	IDOTRR	5	6	1900	760	928	2168	5	11	576	123000
60	6402	IDOTRR	5	5	1920	596	596	1192	3	6	189	78000
105	8470	IDOTRR	3	2	1915	1013	1013	1526	2	6	0	85000
60	10200	IDOTRR	4	6	1925	572	572	572	2	4	200	75000
44	3843	Crawfor	8	5	2007	1596	1648	1648	2	5	482	230000
109	21780	IDOTRR	2	4	1910	0	810	810	1	4	280	57625
75	10125	Mitchel	8	5	2000	1107	1040	2052	3	7	642	251000
48	12822	Mitchel	7	5	2003	1434	1518	2149	1	6	670	239686
43	12118	Mitchel	7	5	2004	1710	1710	1710	3	7	550	240000
71	12209	Mitchel	6	5	2001	804	804	1961	3	7	560	215000
75	9750	Mitchel	6	6	1977	902	926	926	2	5	351	156450
72	9360	Mitchel	6	7	1977	957	1287	1287	2	5	541	173000
75	10125	Mitchel	5	5	1977	0	1302	1734	4	8	539	126000
	9947	Mitchel	7	5	1990	1188	1217	1217	3	6	497	173000
82	11070	Mitchel	5	5	1991	1582	1595	1595	2	5	672	152000
	14375	Timber	6	6	1958	819	1344	1344	3	7	525	137500
150	215245	Timber	7	5	1965	2136	2036	2036	3	8	513	375000
89	12898	Timber	9	5	2007	1620	1620	1620	2	6	912	315500
83	13159	Timber	7	5	2009	846	846	1692	3	6	650	224500
113	13438	Timber	9	5	2008	2190	2036	2036	3	9	780	410000
79	14463	Timber	9	5	2008	1641	1641	1641	3	7	885	316500
73	8925	Timber	8	5	2007	1466	1466	1466	3	7	610	201000
130	11457	Timber	6	5	1988	1392	1412	1412	3	6	576	175000
	9839	Timber	6	8	1980	712	1375	2237	3	7	440	204000
125	14419	Timber	7	5	1987	1645	1479	1479	3	7	578	213500
	6853	Timber	8	5	2001	1267	1296	1296	2	6	471	220000
75	9157	Timber	7	5	2003	912	1072	2014	3	9	486	170000
85	14601	Timber	9	5	2006	1838	1838	1838	2	8	765	315000
85	12633	Timber	9	5	2007	1978	1978	1978	2	7	920	425000
75	12518	Mitchel	5	7	1968	1008	1008	1008	3	6	384	139500
100	21750	Mitchel	5	4	1960	0	1771	1771	3	9	336	115000
32	4500	Mitchel	6	5	1998	1204	1204	1204	2	5	412	162000
	4500	Mitchel	6	5	1999	1224	1224	1224	2	5	402	165000
21	1596	MeadowV	4	5	1973	462	526	988	2	5	297	91000
62	9858	Mitchel	5	6	1968	864	874	874	3	5	288	130000
21	1526	MeadowV	4	8	1970	630	630	630	1	3	286	86000
83	13383	Mitchel	5	5	1969	1188	1404	1404	3	7	504	160000
21	1477	MeadowV	4	4	1970	630	630	630	1	3	286	80000
21	1533	MeadowV	4	6	1970	546	798	1344	3	6	0	97000
21	2217	MeadowV	4	4	1970	546	546	1092	3	6	286	88000
50	7689	Mitchel	5	8	1972	796	796	796	2	4	336	131900
62	7706	Mitchel	6	5	1993	384	1091	1091	2	5	429	131250
	9101	Mitchel	5	6	1978	1097	1110	1110	1	4	602	165500
	8780	Mitchel	5	5	1985	833	833	833	3	5	0	112000
70	7669	Mitchel	5	6	1992	828	883	883	2	5	698	149000
85	14115	Mitchel	5	5	1993	796	796	1362	1	5	480	143000
62	10429	Mitchel	5	5	1992	624	624	1287	3	6	440	130000
	9819	Mitchel	6	5	1977	1567	1567	1567	2	5	714	196000
70	10457	Mitchel	5	7	1969	784	784	1632	4	7	898	173000
87	11029	NAmes	6	8	1958	1184	1414	1414	3	6	601	176500
	12925	NAmes	6	7	1970	1205	2117	2117	4	7	550	237500
85	11075	NAmes	6	5	1969	952	1092	2112	4	9	576	206900
72	8702	Gilbert	6	5	1997	926	926	1604	3	7	470	187500
65	8139	Gilbert	6	5	1995	680	680	1470	3	7	420	165000
59	9535	Gilbert	6	5	1998	926	926	1604	3	7	472	195500
59	9042	Gilbert	6	5	1998	943	943	1638	3	7	472	192000
	15038	Gilbert	6	5	1996	916	916	1636	3	7	386	173000
53	14137	Gilbert	5	5	1996	1348	1384	1384	3	7	404	177900
57	21872	Gilbert	7	5	1996	729	729	1446	3	6	406	175000
41	4923	StoneBr	8	5	2001	1593	1593	1593	0	5	682	286000
45	6264	StoneBr	8	5	1997	1664	1682	1682	1	6	528	247900
41	5395	StoneBr	8	5	1993	1337	1337	1337	2	5	462	180000
39	5070	StoneBr	8	5	1992	1280	1280	1280	2	5	506	180000
100	10839	Gilbert	6	5	1997	926	926	1604	3	7	470	181000
73	11184	Gilbert	6	5	1998	932	932	1633	3	7	460	183000
	8000	Gilbert	6	5	1995	773	773	1658	3	8	431	188000
	10832	Gilbert	7	5	1994	712	1086	1895	3	7	409	194500
	14067	Gilbert	6	5	1991	836	851	1709	3	7	416	185000
40	4671	StoneBr	8	5	1988	1228	1228	1228	2	5	472	189000
65	5950	StoneBr	8	5	1989	1337	1337	1337	2	5	462	188500
101	13543	StoneBr	8	5	2005	1168	1168	2500	5	9	683	355000
77	11198	StoneBr	9	5	2005	1122	1134	2504	4	11	656	325000
53	15401	StoneBr	9	5	2004	1884	1884	1884	2	7	670	387000
	31220	Gilbert	6	2	1952	1632	1474	1474	3	7	495	115000
60	8118	StoneBr	9	5	2007	1710	1710	1710	2	6	557	334000
	47280	Gilbert	6	5	1950	1488	1488	1488	3	6	738	133000
46	20544	NWAmes	7	6	1986	791	1236	2093	3	7	542	215000
63	12680	NWAmes	7	6	1988	1675	1688	1688	2	6	528	226500
78	12090	NWAmes	6	6	1981	1422	1422	1422	3	7	576	175500
	10825	NWAmes	7	7	1983	1260	1260	1260	3	6	598	181900
56	18559	NWAmes	7	5	1978	2048	2064	2064	3	7	550	235000
85	14450	NWAmes	7	5	1979	1782	1782	1782	3	6	551	220000
	12227	NWAmes	6	7	1977	1330	1542	2872	4	11	619	272000
90	13068	NWAmes	6	5	1976	1211	1211	1211	3	6	461	161000
	15611	NWAmes	5	6	1977	1126	1126	1126	3	6	540	175000
80	10400	NWAmes	7	6	1980	738	1277	2044	3	7	489	185000
75	9743	NWAmes	5	6	1969	720	720	1308	3	7	484	146900
	12511	NWAmes	7	7	1978	1420	1420	2840	4	8	1314	292500
104	11361	NWAmes	6	5	1976	1193	1523	1523	3	7	478	180000
80	10400	NWAmes	6	5	1976	1444	1444	1444	2	5	473	159900
80	10480	NWAmes	7	6	1976	803	1098	1964	4	8	483	205000
80	10000	NWAmes	5	6	1973	1176	1178	1178	3	5	439	157000
	14311	NWAmes	8	5	1996	1236	1236	2340	4	9	787	306000
60	9000	NAmes	5	5	1974	896	896	1792	4	8	480	133000
65	9750	NAmes	6	8	1969	1054	1054	1054	3	6	460	151000
68	10295	NAmes	4	6	1969	936	936	936	2	4	288	111900
63	7560	NAmes	5	5	1971	864	864	864	3	5	576	123000
	12735	NAmes	4	5	1972	864	864	864	3	5	576	111250
34	4060	NAmes	6	5	1998	1405	1337	1337	2	5	511	181000
21	1680	BrDale	6	5	1973	483	483	987	2	5	264	103400
21	1680	BrDale	6	5	1973	483	483	987	2	5	264	100000
21	1890	BrDale	6	6	1972	483	483	987	2	5	352	100500
21	1869	BrDale	6	6	1970	483	483	987	2	5	280	106000
21	1680	BrDale	6	5	1971	483	483	987	2	4	264	85400
21	1680	BrDale	6	3	1971	483	483	987	2	5	264	89500
21	1680	BrDale	5	5	1972	630	630	1302	3	6	264	111750
53	4043	NPkVill	6	6	1977	1069	1069	1069	2	4	440	140000
24	2308	NPkVill	6	6	1975	855	855	1456	4	7	460	143000
24	2529	NPkVill	7	6	1977	1055	1055	1055	2	4	440	148500
	9477	NAmes	5	5	1966	864	892	892	3	5	264	110000
96	12444	NridgHt	8	5	2008	1932	1932	1932	2	7	774	394617
96	12474	NridgHt	10	5	2007	1682	1742	2332	3	9	846	426000
114	14803	NridgHt	10	5	2007	2078	2084	2084	2	7	1220	385000
67	14948	NridgHt	9	5	2008	1452	1476	2713	3	11	858	446261
98	12704	NridgHt	8	5	2007	1582	1582	1582	3	7	905	317500
107	13891	NridgHt	8	5	2007	1710	1710	1710	2	6	866	372402
105	13693	NridgHt	8	5	2007	2418	2464	2464	4	9	650	417500
104	14418	NridgHt	9	5	2007	1950	1950	1950	2	7	706	383000
108	13418	NridgHt	9	5	2006	1850	1850	2748	4	9	850	390000
96	12539	NridgHt	10	5	2005	1620	1632	2790	4	10	1150	460000
102	12151	NridgHt	9	5	2005	1414	1414	2331	3	9	1003	379000
74	8899	NridgHt	8	5	2007	948	948	2088	4	10	656	250000
85	10574	NridgHt	8	5	2004	1148	1170	2332	4	9	756	316000
106	12720	NridgHt	10	5	2003	2535	2470	2470	1	7	789	615000
110	13688	NridgHt	9	5	2003	1572	1572	2668	3	10	726	412500
85	10625	NridgHt	7	5	2003	998	1006	2046	3	8	871	284000
92	10845	NridgHt	8	5	2003	1603	1575	1575	2	7	732	284000
130	16900	NridgHt	8	5	2001	1479	1515	2649	4	10	746	421250
112	16451	NridgHt	8	5	2003	1765	1804	2690	4	9	795	370000
58	10110	NridgHt	9	5	2008	1858	1866	1866	2	7	870	336860
65	8769	NridgHt	9	5	2008	1702	1702	1702	1	7	1052	367294
135	12304	NridgHt	7	5	2005	1367	1367	1367	2	6	484	192000
62	12677	NridgHt	8	5	2003	1518	1518	1518	1	6	588	274000
63	8849	NridgHt	9	5	2005	1684	1684	1684	2	6	564	266000
89	8232	NridgHt	9	5	2007	1800	1800	1800	2	6	944	370967
48	6240	NridgHt	8	5	2006	1342	1342	1342	2	6	550	234250
48	6240	NridgHt	8	5	2006	1342	1342	1342	2	6	550	219500
36	2448	NridgHt	7	5	2003	764	764	1626	2	6	474	155000
36	2448	NridgHt	7	5	2003	764	764	1626	2	6	474	154000
59	8198	NridgHt	7	5	2004	1358	1358	1358	2	6	484	207000
	3940	Blmngtn	7	5	2003	1415	1455	1455	2	6	644	195000
	3940	Blmngtn	7	5	2004	1393	1576	1576	2	7	668	219990
43	3182	Blmngtn	7	5	2005	1346	1504	1504	2	7	437	191000
43	3182	Blmngtn	7	5	2007	1266	1266	1266	2	6	388	159895
53	3710	Blmngtn	7	5	2007	1146	1246	1246	2	5	428	187687
80	9024	Gilbert	6	5	2004	789	813	1515	3	8	393	179000
62	7415	Gilbert	6	5	2004	839	864	1593	3	8	398	193000
59	9587	Gilbert	7	5	2005	856	1166	1166	2	5	400	190000
51	8029	Gilbert	6	5	2005	728	728	1456	3	8	400	176000
	8010	Gilbert	7	5	2002	840	840	1720	3	7	400	188000
	8396	Gilbert	7	5	2003	847	847	1986	4	9	434	213000
55	7301	NridgHt	7	6	2007	1350	1358	1358	2	6	484	217300
93	10261	Gilbert	6	5	2000	936	962	1792	3	8	451	186500
71	8220	Gilbert	7	5	2000	982	1008	1892	3	8	431	226750
60	15384	Gilbert	7	5	2004	788	788	1490	3	8	388	184000
	7750	Gilbert	7	5	2002	707	707	1414	3	6	403	176000
41	12460	Gilbert	7	5	1999	1037	1037	2322	4	8	400	225000
77	8390	Gilbert	7	5	1999	831	873	1651	3	7	450	185900
84	9660	NoRidge	8	5	1997	1173	1182	2199	3	9	516	284500
80	9200	NoRidge	8	5	1998	1470	1470	2630	4	8	696	315000
84	14260	NoRidge	8	5	2000	1145	1145	2198	4	9	836	250000
	11000	NoRidge	9	5	2000	1519	1533	2172	4	8	687	291000
136	11675	NoRidge	8	5	1998	1982	2006	2006	2	5	938	350000
97	10990	NoRidge	7	5	1996	1064	1064	2125	4	12	576	279500
	11929	NoRidge	8	7	1995	1242	1251	2501	4	9	751	290000
91	10437	NoRidge	8	6	1995	2109	2113	2113	2	7	839	350000
96	10542	NoRidge	7	5	1993	1311	1325	2418	3	9	983	341000
91	10010	NoRidge	7	5	1993	1080	1108	2197	4	9	783	287500
81	10944	NoRidge	7	5	1994	1223	1223	2127	3	5	525	271000
91	14303	NoRidge	8	5	1994	1986	1987	1987	2	7	691	301500
92	11932	Somerst	8	5	2007	1580	1580	1580	3	7	830	235128
86	14598	Somerst	6	5	2007	894	894	1933	4	9	668	214000
75	11957	Somerst	8	5	2006	1574	1574	1574	3	7	824	232000
74	13253	Somerst	7	5	2006	1578	1578	1578	3	7	642	240000
75	14587	Somerst	9	5	2008	1498	1506	1506	2	6	592	264132
78	10206	Somerst	8	5	2007	1563	1563	1563	3	6	758	245000
91	12274	Somerst	7	5	2008	1417	1428	1428	3	6	554	227680
73	9801	Somerst	8	5	2007	1341	1341	1861	3	7	851	257000
80	9428	Somerst	8	5	2007	955	955	1874	3	8	880	297900
87	10037	Somerst	8	5	2006	1460	1460	1460	3	6	480	247000
72	8640	Somerst	8	5	2007	1363	1372	1372	3	6	588	212700
72	8640	Somerst	7	5	2007	1372	1372	1372	3	6	529	250580
95	11639	Somerst	7	5	2007	1428	1428	1428	3	6	480	182000
75	9803	Somerst	7	5	2005	866	866	1768	3	7	603	226700
75	9375	Somerst	8	5	2003	1053	1053	1992	3	9	648	250000
85	10625	Somerst	7	5	2005	1026	1026	1958	3	9	936	250000
85	10800	Somerst	8	5	2007	1034	1050	2078	3	8	836	339750
65	8125	Somerst	7	6	2007	813	822	1665	3	7	562	205950
85	10625	Somerst	8	5	2007	1660	1660	1660	3	7	660	256000
62	7500	Somerst	7	5	2007	1218	1218	1218	2	6	462	230348
64	8791	Somerst	6	5	2003	864	864	1728	3	7	673	207500
63	7500	SawyerW	7	5	2004	1080	1080	1080	3	6	0	141000
68	10110	SawyerW	6	5	2003	835	835	1696	3	7	542	188000
67	12774	SawyerW	7	5	2003	835	835	1663	3	8	478	192500
63	13072	SawyerW	6	5	2005	1175	1175	1175	3	6	0	146000
66	13695	SawyerW	5	5	2004	1114	1114	1114	3	6	576	159000
66	13695	SawyerW	6	5	2003	1114	1114	1114	3	6	576	155000
65	8366	SawyerW	6	5	2004	798	798	1640	3	6	520	173000
81	9260	SawyerW	7	5	2007	1162	1162	1162	3	6	483	170000
65	8453	SawyerW	6	5	1995	754	754	1609	3	6	525	182000
50	8480	SawyerW	6	5	1993	886	886	1680	3	7	474	163000
65	8125	SawyerW	6	5	1994	1408	1679	1679	3	7	575	193500
43	14565	SawyerW	7	5	1994	832	832	1657	3	6	483	189000
65	8450	SawyerW	6	5	2001	827	827	1677	3	7	627	190500
75	8285	SawyerW	7	5	1992	836	844	1737	3	7	506	175000
	7153	SawyerW	6	5	1991	1278	1294	1294	3	6	496	179200
76	9291	SawyerW	6	5	1993	832	832	1710	3	7	506	187000
50	8012	SawyerW	6	5	1993	1604	1617	1617	2	5	533	193000
55	7892	SawyerW	6	5	1993	1199	1199	1199	2	5	530	153900
70	9100	Sawyer	5	5	1963	984	984	984	3	5	384	128000
	12968	Sawyer	5	6	1962	912	912	912	2	4	352	144000
75	8100	Sawyer	5	8	1961	864	864	864	3	5	420	135000
65	8450	Sawyer	5	5	1968	890	890	890	3	5	308	115000
60	6360	Sawyer	5	5	1963	864	864	864	3	5	276	119916
65	6768	Sawyer	6	8	1961	912	912	912	3	5	288	142000
95	19508	Veenker	6	5	1974	1430	1430	1430	3	6	484	192000
70	10759	Sawyer	5	4	1972	1001	1001	1641	4	5	490	140000
	9205	NoRidge	6	5	1990	930	1364	2683	4	9	473	290000
105	11025	NoRidge	9	5	1993	1848	1827	2786	4	10	636	372500
59	4282	Somerst	7	5	2004	1391	1391	1391	2	5	530	196000
35	4017	Somerst	7	5	2006	625	625	1250	2	5	625	171900
37	3435	Somerst	7	5	2004	1235	1245	1245	1	5	495	178000
30	3180	Somerst	6	5	2005	600	600	1200	2	5	480	165000
30	3180	Somerst	7	5	2007	689	703	1392	2	5	540	146000
34	3604	Somerst	7	5	2007	689	703	1392	2	5	540	146000
24	2280	Somerst	7	5	1999	744	757	1501	3	6	440	179400
24	2280	Somerst	6	5	1999	744	757	1549	3	6	440	172900
	4765	Somerst	9	5	2000	1614	1638	1638	2	5	495	300000
	4538	Somerst	9	5	2001	1310	1310	1310	1	5	545	285000
42	4385	Somerst	9	5	2001	1419	1419	1419	2	5	588	290000
35	4109	Somerst	9	5	1999	1557	1557	1557	2	5	484	305000
50	5119	Somerst	9	5	1999	1698	1709	1709	2	5	506	328900
24	2160	Somerst	7	5	1999	600	624	1252	2	4	462	160000
24	2160	Somerst	7	5	1999	672	684	1404	3	5	462	170000
79	10646	Somerst	7	5	2001	858	872	1789	3	7	546	223000
24	2645	Somerst	8	5	1999	960	962	1586	3	7	480	170000
24	2645	Somerst	8	5	1999	960	962	1607	3	7	480	200000
36	3951	Somerst	10	5	1998	970	1469	2393	2	7	846	345000
38	14963	Veenker	8	5	1996	1260	1288	1288	1	4	500	245500
22	11064	Veenker	8	5	1995	1230	1239	1239	1	4	477	217500
32	10846	Veenker	8	5	1993	1719	1719	1719	1	6	473	324000
	11120	Veenker	6	6	1984	1232	1232	1232	3	6	516	162500
	24572	Veenker	9	3	1977	994	1599	2944	3	9	864	150000
103	16280	Veenker	8	9	1976	1426	1671	1671	3	6	550	290000
	7500	Somerst	7	5	2002	952	952	1812	3	7	469	205000
80	10400	NWAmes	7	6	1970	1304	1682	1682	3	7	530	174000
	11104	NWAmes	6	6	1969	1427	1427	1427	4	7	516	183000
85	11050	NWAmes	6	5	1968	1740	1740	1740	4	8	512	150000
80	11040	NWAmes	6	7	1971	1258	1258	1258	3	5	528	145000
	15387	NWAmes	7	7	1967	1620	1620	1620	4	8	578	215000
75	9750	NWAmes	5	6	1965	1625	1625	1625	4	8	484	140500
90	10800	NWAmes	6	7	1974	1522	1548	2614	4	9	624	240000
73	8814	NAmes	5	6	1968	732	732	1464	4	7	470	141000
72	8872	NAmes	5	8	1965	912	912	912	2	5	576	147000
65	8125	NAmes	5	7	1965	912	925	925	3	5	576	135000
72	11072	NAmes	5	5	1965	1728	1728	1728	6	10	576	145000
74	13101	NAmes	5	5	1965	1728	1728	1728	6	10	576	142600
87	9246	NWAmes	5	5	1973	1656	1656	1656	4	8	506	135000
	13355	NWAmes	7	6	1971	825	845	1670	4	7	464	170000
	8963	NWAmes	8	9	1976	1142	1175	2715	4	11	831	299800
76	9120	NWAmes	6	6	1974	901	943	1876	4	8	540	185000
	9130	NWAmes	6	8	1966	800	800	1632	4	7	484	173000
	12122	NAmes	7	9	1961	944	999	999	3	6	588	178400
	9900	NWAmes	7	5	1968	832	1098	1978	4	9	486	176000
74	7785	NAmes	5	5	1956	0	1014	1014	2	6	267	98000
77	8593	NAmes	4	6	1957	907	907	907	3	5	352	109008
	8475	NAmes	4	7	1956	952	952	952	2	4	283	135750
80	8700	NAmes	5	6	1963	1120	1128	1128	3	6	525	155000
