year,age,maritalstatus,education,region,jobclass,health,health_ins,wage
2004,54,4. Divorced,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,87.98103279
2005,26,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,116.4423183
2009,46,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,166.3249412
2006,58,4. Divorced,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,149.6950421
2005,22,1. Never Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,73.77574327
2005,58,2. Married,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,277.6014175
2008,63,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,136.8763676
2007,67,2. Married,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,129.4536446
2008,44,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,111.7208494
2003,51,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,178.7006572
2003,46,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,49.55533812
2007,43,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,82.6796373
2004,40,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,73.77574327
2008,31,1. Never Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,92.89584479
2007,41,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,114.4757133
2008,21,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,84.04595765
2008,51,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,76.89360252
2003,43,5. Separated,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,79.85490031
2004,34,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,130.9821774
2008,45,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,148.4131591
2008,35,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,65.11085372
2004,33,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,134.7053751
2003,46,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,94.07271475
2003,38,1. Never Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,94.07271475
2004,44,1. Never Married,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,90.48191336
2006,50,1. Never Married,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,111.7217824
2009,55,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,107.9039239
2009,49,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,191.5736835
2006,47,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,145.1436012
2003,40,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,138.6391722
2003,21,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,53.63872202
2008,60,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,93.05348736
2008,56,1. Never Married,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,81.28325328
2004,61,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,128.6804882
2008,44,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,136.1577108
2007,43,4. Divorced,5. Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,160.6424754
2005,29,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,109.8339856
2003,38,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,148.4131591
2003,26,1. Never Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,108.39064
2006,28,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,67.14308075
2003,38,1. Never Married,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,118.0197533
2006,45,4. Divorced,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,109.8339856
2004,39,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,47.3389061
2003,33,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,62.91365497
2005,44,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,70.47601965
2006,48,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,99.6894637
2007,45,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,92.79134808
2007,56,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,99.6916284
2009,40,1. Never Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,114.4757133
2006,71,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,89.24288466
2006,30,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,118.8843593
2004,45,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,148.4131591
2004,41,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,90.48191336
2003,40,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,118.8843593
2004,59,2. Married,1. < HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,89.16782867
2007,46,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,73.77574327
2003,38,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,70.47601965
2007,26,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,93.48669204
2005,53,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,70.47601965
2004,46,4. Divorced,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,99.6894637
2007,42,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,98.59934386
2006,28,1. Never Married,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,54.59815003
2004,30,1. Never Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,86.69515483
2008,34,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,118.8843593
2008,46,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,160.6424754
2007,22,1. Never Married,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,59.09706408
2007,37,1. Never Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,92.72952791
2008,27,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,63.188861
2008,52,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,114.4757133
2008,43,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,65.11085372
2004,52,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,148.4131591
2005,54,1. Never Married,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,109.4898415
2007,47,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,99.6894637
2005,21,1. Never Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,105.9278108
2005,42,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,134.7053751
2003,72,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,189.2441629
2003,38,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,104.9215065
2009,53,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,82.6796373
2006,35,5. Separated,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,81.28325328
2008,60,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,76.89360252
2003,39,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,85.38394038
2005,45,4. Divorced,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,73.77574327
2008,61,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,106.6080215
2008,64,4. Divorced,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,95.23071257
2004,39,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,70.47601965
2007,46,2. Married,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,105.9278108
2008,25,1. Never Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,56.45386498
2003,80,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,94.07271475
2008,51,4. Divorced,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,105.9278108
2004,58,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,75.04315402
2009,52,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,118.8843593
2004,45,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,138.2991269
2007,41,1. Never Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,99.6894637
2004,42,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,95.23071257
2008,31,1. Never Married,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,94.07271475
2004,49,4. Divorced,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,123.0896998
2009,47,4. Divorced,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,90.48191336
2005,39,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,87.98103279
2006,53,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,109.8339856
2003,37,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,85.38394038
2003,52,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,191.5736835
2006,41,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,101.8243521
2006,39,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,148.4131591
2009,63,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,171.7651326
2007,23,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,73.45442826
2004,62,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,87.98103279
2004,43,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,272.2947832
2004,29,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,102.8702469
2004,43,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,160.6424754
2008,34,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,123.0896998
2003,38,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,91.69922611
2005,25,1. Never Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,85.38394038
2005,64,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,109.8339856
2003,49,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,114.4757133
2009,46,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,84.31576886
2006,30,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,114.4757133
2003,33,1. Never Married,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,57.35259108
2007,29,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,104.9215065
2008,32,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,125.5254984
2007,54,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,108.8745258
2005,40,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,65.11085372
2005,24,1. Never Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,109.8339856
2008,30,5. Separated,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,70.81503862
2009,49,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,145.1436012
2006,47,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,101.8243521
2008,25,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,84.04595765
2007,44,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,134.7053751
2007,41,4. Divorced,1. < HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,97.49329405
2005,54,5. Separated,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,154.685293
2009,59,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,200.5432623
2003,25,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,59.73422334
2009,63,2. Married,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,91.69922611
2009,49,1. Never Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,109.8339856
2008,35,5. Separated,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,114.4757133
2006,24,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,66.22940829
2003,66,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,92.89584479
2008,57,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,94.07271475
2003,47,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,118.8843593
2006,44,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,132.4878211
2006,56,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,127.1157438
2004,34,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,99.6894637
2006,23,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,40.40566526
2008,30,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,138.2991269
2004,38,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,102.8702469
2004,43,2. Married,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,79.85490031
2007,58,4. Divorced,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,111.7208494
2005,36,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,62.19867943
2007,48,1. Never Married,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,70.47601965
2005,35,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,86.04280113
2006,22,1. Never Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,99.6894637
2007,50,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,113.5670896
2004,58,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,100.7642728
2003,20,1. Never Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,61.18752643
2007,44,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,113.6127457
2003,50,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,134.7053751
2009,55,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,104.9235317
2003,39,1. Never Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,109.8339856
2008,32,1. Never Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,276.7784133
2008,50,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,148.4131591
2009,24,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,148.4131591
2009,53,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,109.8339856
2003,35,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,81.28325328
2003,25,1. Never Married,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,79.85490031
2006,24,1. Never Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,109.8339856
2005,57,5. Separated,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,148.4131591
2005,43,2. Married,1. < HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,65.11085372
2009,33,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,88.29869947
2005,40,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,91.69922611
2008,39,1. Never Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,73.77574327
2004,32,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,70.47601965
2005,48,4. Divorced,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,128.6804882
2004,29,2. Married,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,94.07271475
2005,35,4. Divorced,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,98.59934386
2004,41,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,133.2323508
2009,52,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,134.7053751
2005,50,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,91.69922611
2004,35,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,160.6354986
2007,27,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,99.6894637
2004,57,2. Married,5. Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,114.4757133
2004,48,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,97.49329405
2009,41,4. Divorced,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,98.04835051
2005,59,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,104.9215065
2003,55,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,109.8339856
2005,54,4. Divorced,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,133.2323508
2003,34,2. Married,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,118.8843593
2009,43,1. Never Married,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,73.77574327
2003,43,4. Divorced,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,104.9215065
2003,62,3. Widowed,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,62.03030461
2006,45,1. Never Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,97.49329405
2004,40,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,145.8051634
2003,33,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,82.6796373
2005,45,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,148.4131591
2009,21,1. Never Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,49.55533812
2009,54,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,73.77574327
2003,43,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,73.77574327
2004,54,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,127.1157438
2004,35,2. Married,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,109.8339856
2008,23,1. Never Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,61.59458318
2006,61,3. Widowed,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,111.4404696
2004,51,4. Divorced,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,138.2991269
2006,43,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,127.1157438
2003,20,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,75.35567932
2007,51,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,139.0034081
2009,65,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,118.8843593
2009,37,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,109.8339856
2008,24,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,66.23309573
2003,36,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,73.29308207
2005,45,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,130.9821774
2008,33,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,276.7784133
2009,36,4. Divorced,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,86.91032774
2004,32,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,109.8339856
2009,45,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,118.8843593
2003,51,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,104.9215065
2005,33,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,136.8763676
2003,47,4. Divorced,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,84.04595765
2003,37,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,196.1252726
2008,41,2. Married,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,121.4303138
2005,23,1. Never Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,96.3977959
2009,57,2. Married,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,128.6804882
2006,61,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,148.4131591
2007,47,4. Divorced,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,85.38394038
2003,29,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,87.98103279
2005,37,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,99.6894637
2005,57,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,148.4131591
2004,39,1. Never Married,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,2. No,81.28325328
2007,59,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,145.8051634
2007,31,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,149.0558956
2009,26,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,97.49329405
2009,51,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,118.0197533
2006,38,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,99.6894637
2006,51,2. Married,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,118.8843593
2004,50,2. Married,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,79.85490031
2005,32,2. Married,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,118.8843593
2007,38,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,160.6424754
2005,49,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,176.9896505
2005,40,1. Never Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,73.77574327
2007,60,2. Married,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,154.685293
2007,30,1. Never Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,101.8243521
2003,41,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,130.9821774
2009,32,1. Never Married,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,114.4757133
2009,26,1. Never Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,105.9278108
2004,41,2. Married,3. Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,81.28325328
2008,53,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,134.7053751
2005,35,2. Married,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,97.49329405
2008,50,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,109.8339856
2004,43,2. Married,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,171.7651326
2003,50,5. Separated,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,67.82678713
2009,19,1. Never Married,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,73.77574327
2004,42,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,91.69922611
2007,53,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,66.96164432
2004,22,1. Never Married,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,2. No,95.23071257
2003,49,2. Married,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,98.59934386
2005,33,1. Never Married,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,109.8339856
